# index, name, Curso, Grupo, Sexo, prosocial, crttotal, _pos
465,1405,3,C,Female,0.666666666666667,2,"array([ 6.05339954, -1.15922871])"
466,1388,3,B,Female,1.0,3,"array([ 5.93086326, -1.08081074])"
467,1407,3,C,Female,1.0,3,"array([ 6.07145115, -1.22022125])"
468,1408,3,C,Male,0.666666666666667,3,"array([ 6.03196029, -1.1586816 ])"
469,1410,3,C,Female,0.666666666666667,2,"array([ 6.01802835, -1.09607718])"
470,1411,3,C,Male,1.0,3,"array([ 6.085167  , -1.23403545])"
471,1412,3,C,Male,1.0,2,"array([ 6.12384495, -1.18254565])"
472,1413,3,C,Male,0.666666666666667,3,"array([ 6.08703669, -1.16811614])"
473,1415,3,C,Male,1.0,2,"array([ 6.10019649, -1.18827246])"
474,1417,3,C,Male,1.0,3,"array([ 6.0791415 , -1.18990377])"
475,1419,3,C,Male,1.0,3,"array([ 6.05356503, -1.22781217])"
476,1421,3,C,Female,1.0,3,"array([ 6.11164555, -1.24447879])"
477,1424,3,C,Male,1.0,3,"array([ 6.12733762, -1.15940857])"
478,1425,3,C,Male,0.0,2,"array([ 6.16580536, -1.13329311])"
479,1426,3,C,Female,0.666666666666667,1,"array([ 6.05566032, -1.27500364])"
480,1429,3,C,Male,1.0,3,"array([ 6.06826604, -1.17078437])"
481,1430,3,C,Male,1.0,1,"array([ 6.15239504, -1.19372296])"
482,1431,3,C,Female,1.0,2,"array([ 6.05270958, -1.20193928])"
